,time,mean EEG1,std EEG1,mean EEG2,std EEG2,0,1,2,3,4,5,0,1,2,3,4,5
0,60,-13.715763448014322,44.55563789836743,0.6248717589843749,34.882728789054326,0.01992597104773947,0.04053273642539813,0.07819033908629507,0.1689709337370279,0.31438034049838837,0.377999679205151,0.03184556828092095,0.056363824991683444,0.08909104098892953,0.16417005347701133,0.2206503741325603,0.4378791381288944
1,70,-13.538683476009114,44.739616584498364,0.6394837149414063,35.22117897411267,0.0189222346695429,0.03900973865723343,0.0671799327295994,0.15669178650033921,0.3045191120995231,0.41367719534376185,0.03116223129723718,0.05190823451132894,0.08337195890953523,0.1691033437498781,0.27651785536294654,0.387936376169074
2,80,-13.681543783170577,45.28257775881424,0.47456338899739586,37.70732332887856,0.01736079743736429,0.03268815088481712,0.06729248820093668,0.15822195872440747,0.22808606291468786,0.49635054183778665,0.019729804005065636,0.03532894079477852,0.056763284067714984,0.12064288850421376,0.23114392599827413,0.536391156629953
3,90,-14.043495610481772,45.84423486098449,0.4797331233723959,38.06220471332675,0.01586912175394026,0.0318990996562018,0.06154916138154927,0.15708638401645014,0.2522430272236959,0.4813532059681626,0.021491821890537277,0.04154494256786369,0.0626487517305619,0.1292291897866615,0.23510436016534544,0.5099809338590302
4,100,-13.825612018652341,45.8776869385524,0.6185852294270837,38.11265024905075,0.017116873155152017,0.035815622922798995,0.06836842197922437,0.15654995145904205,0.2656054780809601,0.4565436524028224,0.02445898666404456,0.046381897508257074,0.07672124534439026,0.12295826602309624,0.2821054667497337,0.4473741377104781
5,110,-13.792616851790367,46.396157140001755,0.5046050137044272,37.69491134561031,0.017822907540630057,0.0369749065271439,0.06569119494331016,0.14771262437487287,0.25067745211804315,0.48112091449599986,0.02492213180546518,0.0510391161896986,0.08836991912333785,0.1392372787715049,0.27599067347190126,0.4204408806380922
6,120,-14.048874951074218,46.598265660291695,0.4042235191406252,37.88715223443642,0.017656394615247446,0.036843482177866156,0.06383630661107585,0.17228885330088822,0.2662824531992806,0.44309251009564166,0.026519345515579437,0.051358187633174186,0.0757065260633351,0.11405077548619141,0.2799367950430107,0.45242837025870913
7,130,-13.958478334505212,46.74710265470178,0.4815276177083334,37.87897192242277,0.019491494667779555,0.044600556972536544,0.06825182822738478,0.18215419822768972,0.2565824859270877,0.4289194359775217,0.029269801294545806,0.059573170781603416,0.07582436849162363,0.14438538362718864,0.22745488011818685,0.46349239568685163
8,140,-13.78816209830729,46.20442301533637,0.514737361686198,36.38693816918767,0.02048921576094521,0.046124932564952766,0.07649777757145625,0.179843227120128,0.26766393720138026,0.40938090978113756,0.04483230196363461,0.091722772069421,0.12795373152771558,0.1856598535987943,0.30202115497121695,0.24781018586921755
9,150,-13.789142193782551,45.832686937405896,0.46760495966796894,35.87418955170069,0.022965184614428008,0.05924387434585983,0.09959541926052858,0.22377416805928038,0.3217487333961875,0.27267262032371575,0.040333459889207536,0.08929900691505754,0.12661402204493466,0.16619762042105388,0.3165802921359087,0.26097559859383757
10,160,-14.08393304078776,45.34517111668285,0.43466778662109373,35.74537932808961,0.022329141697931754,0.05999194563946187,0.09350214001648455,0.22340904075571766,0.3126282183986856,0.28813951349171846,0.03502237414089732,0.06724406923468772,0.0813292532186033,0.1541903660901247,0.3227459476999181,0.33946798961576885
11,170,-13.83633673203125,45.491803482416024,0.5440316946614584,35.54055829845215,0.023298028692862807,0.059877148719253,0.09055451093223325,0.23790645873024904,0.35300917895112016,0.23535467397428184,0.0364719451460489,0.06705417388355728,0.08404597206210342,0.17448689727595385,0.3165488032042883,0.32139220842804817
12,180,-13.780076931998698,45.16418196451617,0.4190947902994794,35.82474457965431,0.018188487227487834,0.044871283251956086,0.07672716747018667,0.20241154200273576,0.320501676800161,0.33729984324747275,0.028874830219113762,0.051300661329421994,0.0632877558615548,0.1326319904237328,0.2524104985739365,0.4714942635922401
13,190,-14.004101240364584,44.135774513468334,0.3227049271809896,40.351107776197814,0.01831812261355989,0.04511438753292096,0.07990403810865897,0.19554967044313826,0.31664987243192355,0.3444639088697983,0.01905929016442098,0.03397810407745801,0.05663122871693155,0.13754220143649834,0.333471355870809,0.41931781973388216
14,200,-13.950795810970051,45.02552133352624,0.548103688964844,40.144622020012676,0.018524411756971237,0.044931119241163525,0.06500103395124537,0.2030195028321978,0.3009519618441364,0.3675719703742857,0.01872829494466752,0.03257925122482765,0.056111426424966034,0.13827040047622893,0.2892093078265611,0.4651013191027487
15,210,-13.833801573828122,45.14441963968061,0.5105129264973958,40.63446523227514,0.01841776766944374,0.04326581081930337,0.06772396852907103,0.17709581542334804,0.3490409565853812,0.3444556809734525,0.023274006766735276,0.04038604379793029,0.06388495161451903,0.1569906103983894,0.36875030424453464,0.3467140831778914
16,220,-13.791937495670572,46.43116682024541,0.5383822685872397,40.872426748961,0.02060876884761361,0.049098607998879565,0.07588347667105444,0.16959278339746847,0.372150883651933,0.31266547943305084,0.02315634695586897,0.04007070077645806,0.06563291075229882,0.15526169201509227,0.3105444714480456,0.40533387805223636
17,230,-13.93806699703776,47.15766322520334,0.37827791474609374,41.46824448618432,0.0203602549836533,0.04776455116547034,0.08571352644409846,0.1745021240779364,0.36460534962137686,0.30705419370746473,0.021907228007857084,0.03954680106301725,0.05786904603107568,0.13764957934797145,0.26322387797944957,0.479803467570629
18,240,-13.962165084179688,47.53593358346222,0.37773774378255204,41.26454029027115,0.02266022287975177,0.06120585427458333,0.1012608547613866,0.18947326004111248,0.348504615588887,0.27689519245427885,0.02818849746204974,0.05860927783766323,0.08509193446304199,0.1702125342432412,0.3231961069792063,0.33470164901479754
19,250,-13.765496458398436,47.8690622132624,0.6836924001953123,36.61523891080293,0.021959981345883915,0.06090339397392247,0.10495126731341964,0.16919112270812467,0.3750296691617333,0.267964565496916,0.04992258460301424,0.0948535996119971,0.12243603309652519,0.17103355953230648,0.25124198264979414,0.3105122405063627
20,260,-13.824713943001301,47.857016202298105,0.38110552747395837,36.86785581021326,0.024765718762851854,0.06392060739099362,0.10959938300612862,0.20305967283938559,0.36880177294380856,0.22985284505683173,0.04291281506660853,0.08848734624294041,0.10923235247014461,0.19643431674765896,0.2586538101046627,0.3042793593679847
